Gene name	Chromosome/scaffold name	Karyotype band	Gene start (bp)	Gene end (bp)
SPANXD	X	q27.2	141697411	141698739
MIR4458HG	5	p15.31	8450743	8463095
DPRXP7	X	q23	112319952	112320417
DRG2	17	p11.2	18087886	18107971
TIMM50	19	q13.2	39480412	39493785
DBI	2	q14.2	119366921	119372560
AC087164.2	17	p11.2	18107334	18110463
F2RL2	5	q13.3	76615482	76623434
ANKRD18EP	6	p21.2	39110321	39112952
AL357507.1	6	q13	74069451	74690727
AC009229.3	2	p22.2	38193348	38193629
CLDN15	7	q22.1	101232092	101238820
AC012651.1	15	q15.1	42348103	42412317
AL603756.1	10	q23.1	84138420	84140582
INGX	X	q13.1	71491682	71492928
AC011899.3	7	q36.3	157868538	157869154
SPANXA1	X	q27.2	141583674	141585011
SLC25A25-AS1	9	q34.11	128108581	128118693
PCNX4	14	q23.1	60091911	60169133
PPIAP70	3	p14.2	60690225	60690719
ATAT1	6	p21.33	30626842	30646823
AL022311.1	22	q13.1	37876148	37895563
KLK9	19	q13.41	51003111	51009634
APOC2	19	q13.32	44945982	44949565
AL023584.1	6	q24.2	142748443	142753759
AC079598.2	12	q21.32	87753414	87753447
POLR1A	2	p11.2	86020216	86106155
AC011481.3	19	q13.32	44909375	44914968
BORCS8-MEF2B	19	p13.11	19145567	19192158
AC125494.1	12	p13.31	6663260	6672069
AF250324.1	4	q35.2	189703881	189704490
AC133637.1	15	q26.1	89358841	89360377
Z82246.1	22	q12.3	32583300	32584204
OR2AD1P	CHR_HSCHR6_MHC_SSTO_CTG1		29027504	29028431
THORLNC	2	q14.2	118132128	118222250
SPON1-AS1	11	p15.2	14262846	14273691
FANCF	11	p14.3	22622890	22625841
KRT18P1	CHR_HSCHR6_MHC_SSTO_CTG1		28969980	28971310
SLC12A4	16	q22.1	67943474	67969601
AL158210.2	10	p14	6682513	6823789
ECHDC2	1	p32.3	52895910	52927212
AC062029.1	2	p11.2	88627539	88631821
EIF2AK3	2	p11.2	88556741	88627576
LINC01495	11	p14.3	22445688	22492019
UQCRHP1	CHR_HSCHR6_MHC_DBB_CTG1		31593261	31593534
OBSL1	2	q35	219550729	219571859
ZNF384	12	p13.31	6666477	6689572
SMC6	2	p24.2	17663812	17800242
EIF3G	19	p13.2	10115017	10119918
LINC00102	X	p22.33	2612988	2615347
CHRNE	17	p13.2	4897774	4934438
PVT1	8	q24.21	127794533	128101253
USP7	16	p13.2	8892094	8964514
NFKB1	4	q24	102501329	102617302
PPAN-P2RY11	19	p13.2	10106223	10114780
AL672212.1	6	p21.1	41308166	41308565
AC021517.2	18	q12.3	45491581	45503824
AL356311.1	6	q25.1	151813276	151814179
SNRPCP2	5	q13.3	76376675	76377149
AL135936.1	20	p11.23	19000709	19056796
ST3GAL4	11	q24.2	126355640	126440344
NRXN3	14	q24.3	78170373	79868290
AC012671.1	2	p11.2	88428078	88428615
SDHCP1	18	q22.1	68866517	68867028
GOLGA2P5	12	q23.1	100156357	100173659
COA7	1	p32.3	52684451	52698366
AC022149.1	19	p13.12	14621634	14622242
IRF2	4	q35.1	184387713	184474580
AC134043.1	5	q33.3	159209921	159248796
LINC01537	11	q13.4	72570660	72573229
LILRA1	CHR_HSCHR19LRC_PGF1_CTG3_1		54524093	54532898
ST7L	1	p13.2	112523518	112620825
AC097658.1	4	q31.21	143349275	143350117
ADGRE3	19	p13.12	14619117	14690027
AC097658.2	4	q31.21	143286293	143329858
RFC1	4	p14	39287456	39366375
NBPF20	1	q21.1	145289900	145405778
UBE2E1-AS1	3	p24.2	23804024	23806905
AC015726.2	17	p11.2	19868568	19868689
AC091043.1	18	q11.2	22088060	22098780
AL596276.2	1	p31.1	80495903	80496233
CTTNBP2NL	1	p13.2	112396181	112463456
AC093766.1	4	q31.1	138773550	138801639
AC093903.1	4	q28.3	138277115	138281784
AC013733.1	2	q31.3	181690380	181693415
DCP2	5	q22.2	112976702	113020970
C1orf174	1	p36.32	3889125	3900293
TSSK1B	5	q22.2	113432554	113435031
PTTG1IP	21	q22.3	44849585	44873903
HOGA1	10	q24.2	97584323	97612802
FAM72D	1	q21.1	145096000	145112696
INKA2	1	p13.2	111680630	111739424
SEPT5-GP1BB	22	q11.21	19717220	19724772
AC004922.1	7	q22.1	99325879	99394653
TIMM9P1	10	q22.2	74344550	74344805
WDR77	1	p13.2	111439890	111449376
AC244015.2	1	q21.1	144179777	144211729
C5orf64-AS1	5	q12.1	61732774	61735669
AL603910.2	6	q13	73526744	73526879
AC109309.2	11	p15.4	3289311	3289642
AC145207.8	17	q25.3	81922899	81924511
LILRA2	CHR_HSCHR19LRC_PGF1_CTG3_1		54503437	54518077
AL603755.1	6	p11.2	58386799	58386961
AC109322.1	8	q24.3	144078002	144079265
LINC02280	14	q32.33	104661120	104665558
KLK1	19	q13.33	50819148	50823787
BPIFC	22	q12.3	32413847	32464484
AC010998.1	10	q26.12	120925547	120980700
AC000077.1	22	q11.21	19630750	19633574
AC027796.5	17	p13.2	3577955	3578853
LRRC6	8	q24.22	132571953	132675617
OPLAH	8	q24.3	144051266	144063965
ENPP6	4	q35.1	184088706	184221230
EMILIN1	2	p23.3	27078567	27086408
AC093857.1	4	q13.1	59767816	59792114
GPNMB	7	p15.3	23235967	23275108
LINC00895	22	q11.21	19565203	19566839
AC079336.6	17	q11.2	32518322	32518934
AC079336.4	17	q11.2	32518953	32531492
USP17L30	4	p16.1	9363129	9364721
USP17L9P	4	p16.1	9358383	9359975
AL589674.1	6	q24.1	142062717	142063053
TIMM44	19	p13.2	7926718	7943920
PDGFRA	4	q12	54229097	54298247
FUZ	19	q13.33	49806869	49817376
COX6CP11	14	q24.3	77652827	77653055
USP17L27	4	p16.1	9344148	9345740
UBA52P5	8	q24.13	123236852	123237062
ST13P2	2	q32.1	187825341	187826449
AC092183.1	12	p12.3	15439527	15440401
METTL8P1	12	p12.3	15255213	15255823
RERG-AS1	12	p12.3	15151923	15155283
AL590787.1	13	q12.13	25300124	25301438
ZHX1-C8orf76	8	q24.13	123226189	123274284
AC107222.1	4	q35.1	184072403	184073039
HCG14	CHR_HSCHR6_MHC_SSTO_CTG1		28897398	28898188
LINC01623	CHR_HSCHR6_MHC_SSTO_CTG1		28860338	28864060
BX119924.1	CHR_HSCHR6_MHC_SSTO_CTG1		28838582	28839719
NOP56P1	CHR_HSCHR6_MHC_SSTO_CTG1		28784437	28784808
AL158209.2	10	p12.31	21452197	21452412
AC008164.1	2	p24.2	16728124	16767555
AC027682.3	16	q22.1	67542304	67542572
LINC00649	21	q22.11	33915534	33977691
AC027682.6	16	q22.1	67517862	67528675
AC007671.1	12	p12.1	22104491	22105320
SULT6B2P	12	p12.1	22116629	22134851
AC019178.1	2	q32.2	189930277	189931010
CASC10	10	p12.31	21492658	21497262
AC027682.2	16	q22.1	67542123	67542963
AC019178.2	2	q32.2	189917254	189917758
AC087318.1	12	p12.1	22395088	22398075
USP17L23	4	p16.1	9272364	9272914
ST8SIA1	12	p12.1	22063773	22437041
ME2	18	q21.2	50878734	50954257
USP17L24	4	p16.1	9325165	9327116
AC008069.1	2	p24.2	16853820	16855284
SNAPC2	19	p13.2	7920316	7923250
LINC01866	2	p24.2	16970034	16974497
ZFYVE9P2	2	p24.2	17284292	17284895
OR7E26P	10	p13	14999050	15000055
ZNF70	22	q11.23	23738678	23751092
SON	21	q22.11	33542618	33577481
USP17L25	4	p16.1	9329911	9331862
AC004381.2	16	p12.3	20711473	20732990
OR7E115P	10	p13	15007861	15008884
THUMPD1	16	p12.3	20702816	20742084
VPREB3	22	q11.23	23752743	23754468
HLA-S	CHR_HSCHR6_MHC_SSTO_CTG1		31375802	31376019
AL078601.1	6	q14.1	79354443	79354713
AL357558.2	20	q13.13	47950799	47952055
AL357558.1	20	q13.13	47958022	47958603
ADCY5	3	q21.1	123282296	123449758
MCRS1	12	q13.12	49556544	49568153
TGFB2	1	q41	218346235	218444619
AC092828.1	12	p12.3	19147074	19154659
DNAJC25-GNG10	9	q31.3	111631386	111670229
ANKS1A	6	p21.31	34889265	35091413
PSG7	19	q13.31	42924132	42937178
RNASEH2CP1	Y	p11.2	2789827	2790328
USP9YP32	Y	q11.222	17995201	17997252
AC093155.3	1	p22.3	86993009	87169204
AL353193.1	20	p13	3465177	3465444
LINC01285	X	q24	118839554	118919669
KIR3DS1	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1		54802886	54817473
MS4A12	11	q12.2	60492778	60507430
AC145285.4	16	p11.2	28659696	28740781
HBZ	16	p13.3	152687	154503
ZNF83	19	q13.41	52594060	52690496
AC022150.2	19	q13.41	52597699	52598887
ZNF593	1	p36.11	26169871	26170873
NPIPB8	16	p11.2	28637654	28658682
KIR3DL3	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1		54724479	54736534
GCC2	2	q12.3	108448561	108509415
RBM39	20	q11.22	35701347	35742312
AC025048.5	17	q23.1	60124110	60125474
NDUFS5P2	1	p21.3	96584422	96584727
EEF1A1P11	1	p21.3	96446930	96448318
AC073487.1	12	q13.2	55761550	55762628
AC092393.1	1	p21.3	96390652	96391393
AC022150.3	19	q13.41	52511282	52512342
AC092747.1	12	p11.23	27105151	27161393
C12orf71	12	p11.23	27081058	27082514
RER1	1	p36.32	2391775	2405444
RPSAP29	3	q13.13	110682286	110683154
NGEF	2	q37.1	232878686	233013272
ZNF534	19	q13.41	52429187	52452315
AC087393.3	17	p11.2	20981489	20981654
AC022217.3	5	q35.1	172762980	172782334
SUPT3H	6	p21.1	44809317	45377953
CDK16	X	p11.3	47217860	47229997
PPP1R18	CHR_HSCHR6_MHC_MCF_CTG1		30754873	30766379
AC099668.1	3	p21.31	49684480	49684983
AC245884.8	19	q13.42	54438665	54439544
FAM83H	8	q24.3	143723933	143733801
SNRPCP6	8	p23.1	7143632	7143841
AL079305.1	14	q12	30370108	30373115
TIGD6	5	q32	149993118	150001167
CCDC134	22	q13.2	41800679	41826299
HAMP	19	q13.12	35280716	35285143
DEFB113	6	p12.3	49968677	49969625
AC012629.2	5	p15.2	10761065	10770294
CYCSP32	13	q12.11	19458398	19458718
KIR3DL3	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1		54724478	54736626
PGLS	19	p13.11	17511629	17521288
AF129075.1	21	q21.3	29058073	29060095
PLCZ1	12	p12.3	18683169	18738100
AC012629.3	5	p15.2	10676096	10676423
AC087499.5	17	p11.2	20647287	20681799
AC087499.4	17	p11.2	20612667	20614008
LINC02088	17	p11.2	20612912	20633234
AC087499.7	17	p11.2	20633034	20633259
AC087499.1	17	p11.2	20609462	20609610
CPNE7	16	q24.3	89575768	89597246
AC004386.1	X	q13.2	74376125	74376885
SERPINE3	13	q14.3	51335773	51364735
PDE4DIPP1	1	q21.2	148080598	148093883
ABHD12B	14	q22.1	50872160	50904970
AC005692.2	7	q34	141429711	141431268
AC005692.3	7	q34	141392155	141396517
AC006362.1	7	q34	141173043	141173216
LINC02049	3	q13.33	120833440	120836360
CNDP2	18	q22.3	74495816	74523454
AC138894.4	16	p12.1	28451644	28455356
SRL	16	p13.3	4189374	4242080
DPPA2	3	q13.13	109293788	109316517
AC009704.2	18	q22.3	74504766	74505248
LINC00474	9	q33.1	115888169	115925207
SLC25A15P2	13	q12.11	19411231	19416188
GU182353.1	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1		54771253	54784657
LINC01252	12	p13.2	11548030	11590369
ZFAT-AS1	8	q24.22	134598071	134600689
AC018521.6	17	q21.32	47929682	47933106
AC110275.1	8	p11.21	43018424	43077334
ELN-AS1	7	q11.23	74059576	74062284
KLC1	14	q32.33	103561896	103714249
TMEM238	19	q13.42	55379245	55384598
TMEM190	19	q13.42	55376836	55378244
AC104333.3	1	q32.3	212824027	212824505
KIR2DL4	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1		54789822	54800920
ZNF37A	10	p11.1	38094334	38150293
AL139300.2	14	q32.33	103553421	103561877
C2CD4B	15	q22.2	62163535	62165283
P2RY2	11	q13.4	73218298	73236352
AC007610.1	16	q12.1	50046429	50066224
EPS15	1	p32.3	51354263	51519328
ACTG1P16	16	q12.1	50058150	50059231
AC104170.2	1	p32.3	51461721	51463416
AC104170.1	1	p32.3	51518309	51561629
AC007610.2	16	q12.1	50100339	50121943
AC113133.1	8	p11.21	41660991	41665566
TRBC2	CHR_HSCHR7_2_CTG6		142862134	142863838
AC027702.1	8	p11.21	41828165	41829934
GPR89B	1	q21.2	147928393	147993521
TRBJ2-7	CHR_HSCHR7_2_CTG6		142858549	142858595
AC020917.3	19	p13.11	16352462	16353182
HCP5	6	p21.33	31400702	31477506
AC087392.2	17	p13.3	877902	880093
TRBJ2-5	CHR_HSCHR7_2_CTG6		142858212	142858259
AL049869.1	14	q23.3	64600243	64601644
PPIAP45	12	q13.11	47341614	47342089
IPO4	14	q12	24180219	24188964
TBRG1	11	q24.2	124622836	124635398
LINC02401	12	q23.3	103547794	103559815
KLF2	19	p13.11	16324817	16327874
Z84488.1	6	q22.1	116460739	116463692
BIRC7	20	q13.33	63235883	63240507
AC114936.2	CHR_HSCHR5_2_CTG5		177954877	177967034
TM7SF3	12	p11.23	26973195	27014434
SUDS3P1	CHR_HSCHR5_2_CTG5		177974393	177975358
LINC01149	6	p21.33	31441667	31446973
AC024896.1	12	p11.23	26971586	26979582
TUBB8	10	p15.3	46892	74163
AC000123.1	7	q31.33	127350128	127351523
AC022639.1	8	q12.3	63687179	64368558
AC069133.1	8	q12.3	63704756	63751677
MECR	1	p35.3	29192873	29230942
AL021997.1	6	p22.1	28319660	28319852
DSE	6	q22.1	116254173	116444860
VNN3	6	q23.2	132722787	132734765
PSG8-AS1	19	q13.2	42821863	42826878
AC063923.2	3	q13.13	109176438	109177365
COL6A4P2	3	q22.1	130212823	130273806
PARP4P2	13	q12.11	19349137	19407962
AL449043.1	9	p24.3	100804	102941
USF2	19	q13.12	35268978	35279821
MDP1	14	q12	24213937	24216070
SLC16A6	17	q24.2	68267026	68291267
AC241644.2	1	q21.2	147777590	147788953
AC239801.1	1	q21.2	147840962	147842359
NCKAP5-IT1	2	q21.2	133431666	133433897
AC010890.1	2	q21.2	133264968	133284762
PDZD9	16	p12.2	21983865	22001110
AC007450.2	12	p13.2	11516425	11521686
AC011243.1	2	q21.2	133554315	133558227
AC011755.1	2	q21.2	133117004	133119052
SERBP1P5	4	q21.21	78180866	78182046
ZNF517	8	q24.3	144798876	144811169
AC007450.3	12	p13.2	11507162	11507408
ADH5	4	q23	99070978	99088801
AC068643.1	12	q23.2	103080950	103178675
ZNF800	7	q31.33	127346790	127431924
AL109920.1	6	q21	106451496	106457248
CHMP4A	14	q12	24209583	24213869
LILRB2	CHR_HSCHR19LRC_PGF2_CTG3_1		54274450	54281944
AC012354.2	2	p21	44996413	44996873
PHF1	CHR_HSCHR6_MHC_SSTO_CTG1		33550562	33556643
AC020911.2	19	p13.11	16283359	16324514
TRBJ2-1	CHR_HSCHR7_2_CTG6		142857458	142857507
HLA-S	6	p21.33	31382074	31382288
TRBC1	CHR_HSCHR7_2_CTG6		142852787	142854461
TRBJ1-6	CHR_HSCHR7_2_CTG6		142850081	142850133
AL671883.3	6	p21.33	31367057	31376088
DHFRP2	6	p21.33	31366352	31366898
AP003774.2	11	q13.1	64420391	64432670
IGF2R	6	q25.3	159969099	160113507
RAD23BP2	7	q21.11	83663419	83664625
AL161454.1	9	q22.32	95918136	95918704
AC106795.8	CHR_HSCHR5_2_CTG5		177870853	177871194
AC024224.2	12	p13.2	10015240	10030606
ENPP7P3	3	q22.1	130167790	130168030
IFITM8P	8	q12.3	63409064	63409457
AC011124.2	8	q12.3	63465849	63475482
AC015818.4	17	p11.2	20576667	20578748
TEP1	14	q11.2	20365667	20413429
AC093249.4	16	p11.2	30587662	30587920
AL133367.1	14	q32.33	103525010	103529072
CDCA4P2	1	p22.3	86552625	86553342
AL499605.1	1	p21.1	106544342	106544744
CPEB4	5	q35.2	173888280	173961976
LINC01677	1	p21.1	105927624	106028277
FBLN5	14	q32.12	91869412	91947987
AL590648.1	1	q32.3	212647296	212647755
AL590648.2	1	q32.3	212624284	212626771
AL355306.1	1	p21.1	106080801	106081379
AC008083.2	12	q13.11	47248124	47257539
DEFA3	8	p23.1	7015869	7018301
AL512844.1	1	p21.1	105891739	105893517
CLCA3P	1	p22.3	86634273	86655376
AC011978.2	8	q12.3	63215981	63218034
DNM1L	12	p11.21	32679200	32745650
SEPT2P1	1	p21.1	105698039	105698218
USP9YP34	Y	q11.222	17984349	17993260
CGB7	19	q13.33	49054275	49058860
FRMPD3	X	q22.3	107522450	107605251
MOG	CHR_HSCHR6_MHC_MCF_CTG1		29656787	29672153
CUTA	CHR_HSCHR6_MHC_SSTO_CTG1		33556632	33558507
AC010653.1	16	q22.2	71833787	71835932
GRASP	12	q13.13	52006940	52015889
LINC00452	13	q34	113888306	113923512
AL050331.2	6	q22.1	116244187	116244728
SMIM8	6	q15	87322583	87399749
ZNF528-AS1	19	q13.41	52388842	52397766
AC008687.5	19	q13.33	49042174	49042731
LINC02470	12	p13.31	9936579	9943495
C1QL4	12	q13.12	49332411	49337188
CCNG1P1	6	q23.2	132698783	132699667
AL158058.1	14	q12	29390074	29436412
AC005702.2	17	q23.1	60063004	60064782
MS4A5	11	q12.2	60429589	60455214
AC104986.1	8	q22.2	99003407	99003842
AC091959.1	5	q32	146138771	146139008
C6orf163	6	q15	87344849	87365463
AC020910.1	19	q13.11	34638122	34640689
ZNF880	19	q13.41	52369917	52385795
C2CD4A	15	q22.2	62066977	62070917
AL096817.1	6	q15	87356831	87358605
AC104590.1	15	q22.2	62060503	62062434
DSCR4	21	q22.13	37951425	38121360
AC103974.1	11	p15.1	18706537	18740568
AL133166.1	14	q12	29264381	29381295
WASF5P	CHR_HSCHR6_MHC_SSTO_CTG1		31281167	31282618
ATP13A4-AS1	3	q29	193553213	193555088
NIP7P3	6	q22.1	116137058	116137572
AC073413.1	4	q21.22	82691737	82692468
KCNJ6	21	q22.13	37607376	38121345
CLCA1	1	p22.3	86468368	86500289
HRASLS	3	q29	193241125	193277738
CGB3	19	q13.33	49022869	49024333
MAGED1	X	p11.22	51803007	51902357
SCD5	4	q21.22	82629539	82798857
AC090616.3	17	q11.2	32003110	32006688
CGB2	19	q13.33	49031912	49033238
RPS10P28	19	q13.2	42670005	42670816
AC092506.1	1	p21.1	104072983	104226678
LINC01942	5	q35.2	173689459	173705849
AL096828.2	20	q13.33	63127495	63129459
LINC01863	5	q35.2	173642519	173658194
RPS24P16	15	q23	67232446	67232837
PAH	12	q23.2	102836885	102958410
HAR1A	20	q13.33	63102205	63104386
TPI1P3	6	q22.1	116038756	116039495
CGB1	19	q13.33	49035610	49036895
KIR3DL1	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1		54802842	54817184
AL672207.1	X	q22.1	101778969	101780538
AMY1C	1	p21.1	103750406	103758690
FO082842.1	X	q22.1	101720340	101721709
AC017083.3	2	p14	68131238	68261230
AC119044.1	12	q13.11	47135498	47138370
NPLOC4	17	q25.3	81556887	81648465
CAB39L	13	q14.2	49308650	49444126
TAAR4P	6	q23.2	132594398	132595436
AL122126.1	14	q12	28857384	28858701
AC008687.4	19	q13.33	49017496	49020523
LINC02326	14	q12	28875404	29064993
PPIAP64	2	p14	68125265	68125747
LINC00485	12	q23.2	102809280	102824399
CDH1	16	q22.1	68737225	68835548
AC092471.2	12	p13.33	2726400	2727050
AL031056.2	6	q25.1	149246095	149255415
AL353588.1	6	p21.1	44273194	44378957
TIAM2	6	q25.2	154832697	155257723
CNOT8	5	q33.2	154857553	154876793
AAGAB	15	q23	67201033	67255195
MRPS17P1	1	p34.1	44988705	44991834
TMEM151B	6	p21.1	44270466	44307506
STX7	6	q23.2	132445867	132513198
AC005993.1	14	q24.2	71848606	71908430
DTL	1	q32.3	212035553	212107400
DEFA6	8	p23.1	6924693	6926076
AC099791.2	1	p31.3	61741998	61742424
ERG28	14	q24.3	75649791	75661189
ACTB	7	p22.1	5527147	5563784
SUZ12	17	q11.2	31937018	32001045
SIRT2	19	q13.2	38878555	38899862
HLA-N	CHR_HSCHR6_MHC_MANN_CTG1		30396057	30396191
AC007068.2	12	p13.31	9817350	9818025
HNRNPC	14	q11.2	21209136	21269494
KATNAL1	13	q12.3	30202630	30307484
PRDX2P1	13	q12.3	30296147	30296735
NDRG3	20	q11.23	36651766	36746078
KRT17P7	17	p11.2	20519312	20528687
LINC02079	17	q12	39026715	39027110
NPM1P12	7	q36.1	149334024	149334857
GMPR2	14	q12	24232422	24239242
TRBV22-1	CHR_HSCHR7_2_CTG6		142683514	142683964
TDRD15	2	p24.1	21123917	21143272
AC083906.3	3	q22.1	129954105	129969294
MORC1	3	q13.13	108958239	109118142
AC244394.1	1	q21.1	147050817	147052481
CATSPERB	14	q32.12	91580696	91780707
AC090311.1	18	q21.1	46722975	46723223
LINC01945	2	q21.2	131983937	131994161
ANGPTL5	11	q22.1	101890674	101916522
TNK1	17	p13.1	7380534	7389774
CDADC1	13	q14.2	49247925	49293485
LINC01087	2	q21.1	131637025	131649615
GRAMD4P8	2	q21.1	131646704	131648372
AC087071.1	7	q32.2	130141731	130142615
AC000362.1	7	q31.33	126980967	126981778
TRBV14	CHR_HSCHR7_2_CTG6		142629704	142630195
AL096814.1	6	p21.1	42155426	42163439
CHPT1	12	q23.2	101696947	101744140
AC002310.3	16	p11.2	30537202	30538231
AC002310.5	16	p11.2	30525923	30534852
AC087645.1	17	q25.3	78211618	78211908
AC110741.2	8	q24.22	133962992	133963259
AL353705.3	9	q21.2	78178263	78179512
AC010634.1	5	p15.32	4640731	4648254
AL139281.1	10	p12.2	23258211	23258545
AC020703.1	4	q31.3	153720327	153727722
AP003062.1	11	q25	134950708	134951568
ZSWIM9	19	q13.33	48170692	48197620
AC132219.2	8	q21.13	81696368	81698694
CCDC173	2	q31.1	169645425	169694433
TMEM179B	11	q12.3	62787415	62790405
CYP2AC1P	6	p12.3	49565924	49580166
ZKSCAN8	6	p22.1	28141910	28159472
C17orf58	17	q24.2	67991101	67996431
PHF2P2	13	q12.11	18946755	19062718
AL157815.1	13	q31.3	92239835	92241951
EPHA3	3	p11.1	89107524	89482134
AC068987.5	12	q13.13	51813940	51814926
MRGPRX3	11	p15.1	18120955	18138480
MROH7	1	p32.3	54641754	54710266
AC010740.1	2	q22.1	140898423	140899106
BVES	6	q21	105096822	105137174
AC074117.2	2	p23.3	27455156	27455862
PGR	11	q22.1	101029624	101130524
AL357094.1	14	q21.1	38605255	38606098
LINC02212	5	p15.2	10493527	10502728
TUBA1C	12	q13.12	49188736	49274603
AL080315.1	6	q22.33	128639188	128639653
AP006245.2	8	p12	36321039	36321404
AP006245.1	8	p12	36308245	36308364
AC084033.2	12	q14.1	57983795	57984761
CNN2P12	13	q11	18726706	18727414
AC124290.2	8	p12	36121398	36121683
AC108161.1	4	q13.1	61775449	61775850
AC073486.1	7	q31.33	125431347	125466401
LINC02541	6	q21	113616927	113650090
HLA-DRA	CHR_HSCHR6_MHC_DBB_CTG1		32414554	32419764
AF287957.1	8	p23.1	6615604	6617198
NRBP1	2	p23.3	27427790	27442259
ZNF146	19	q13.12	36214602	36238774
AL136038.4	14	q23.2	63594031	63595291
MTND5P17	10	p11.21	36432882	36434484
AP003717.2	11	q13.4	73991283	73992180
AL161669.1	14	q32.32	103094723	103098885
LINC01595	19	q13.33	47863483	47865341
AC009996.1	15	q21.1	44557829	44559188
RPL23AP80	19	q13.33	47794467	47794890
CHST14	15	q15.1	40470998	40474571
DZIP3	3	q13.13	108589682	108694846
AC092952.1	3	q28	190830965	190832173
ELAVL4	1	p33	50048014	50203786
DERA	12	p12.3	15911172	16037282
AL592182.2	1	p33	50174306	50175868
SYK	9	q22.2	90801787	90898549
AC058823.1	4	q23	98409290	98409763
AC008133.1	17	q11.2	33111858	33131743
AC068789.1	12	q13.2	54543111	54544105
NCKAP1L	12	q13.13	54497711	54548238
AC069200.1	4	q12	55387949	55388271
KCNH5	14	q23.2	62699454	63102037
MDC1-AS1	6	p21.33	30703067	30713184
LINC00506	3	p12.1	87089129	87157069
HMGB3P19	6	q25.2	153938433	153938992
MTND4P13	6	q25.2	153668879	153669901
AC140125.1	5	q35.3	177801204	177803344
AL357153.4	14	q24.2	70556206	70557478
AC098591.1	4	p14	40042917	40057199
ZNF184	6	p22.1	27450743	27473118
SAG	2	q37.1	233307816	233347055
AC113340.1	5	q31.2	138620329	138620964
ST7-AS1	7	q31.2	116952446	116954334
MAGEB4	X	p21.2	30242052	30244193
UCP2	11	q13.4	73974667	73983307
MTCO1P21	1	p22.1	93927714	93928302
MTCO2P21	1	p22.1	93926615	93927569
AC124016.1	4	q21.22	82374301	82384027
GSTT4	22	q11.23	23998401	24005453
AC005185.1	X	p21.2	30209423	30210209
RPL12P3	20	q11.21	33272262	33272657
MTATP6P13	1	p22.1	93925406	93926072
OSTC	4	q25	108650584	108667820
CLSPN	1	p34.3	35720218	35769967
AL590867.3	6	q25.2	153304595	153308982
IL1RAPL1	X	p21.3	28587399	29956723
AC112495.1	X	p21.3	28571532	28586395
ELK3	12	q23.1	96194382	96269835
VDAC1P12	13	q13.2	34082429	34083310
MRPS21P6	10	q26.13	125166677	125166937
PNRC2P1	1	p12	117778087	117778506
AL390877.1	1	p12	117700029	117700242
AC107958.2	15	q26.1	91643017	91649114
MED23	6	q23.2	131573966	131628229
VSTM2A-OT1	7	p11.2	54556970	54571726
AD001527.1	19	q13.12	36144081	36148348
LINC01446	7	p12.1	53655509	53811931
ZNF391	6	p22.1	27374615	27403904
ADM	11	p15.4	10304680	10307397
CNNM1	10	q24.2	99329099	99394330
SLC41A1	1	q32.1	205789093	205813748
CENPUP2	12	p12.1	25092715	25093900
AL132801.1	14	q32.32	102770040	102774791
HNRNPL	19	q13.2	38836388	38852347
LRRC23	12	p13.31	6873569	6914243
AC006461.1	2	p13.2	72288785	72289110
AL669831.3	1	p36.33	586071	827796
PDCD6IPP1	15	q11.2	22727104	22744918
AL512353.3	1	p34.2	42891094	42892430
EXOC6B	2	p13.2	72175984	72826041
PCDHGB9P	5	q31.3	141439853	141442449
PCDHGB4	5	q31.3	141387698	141512979
BCRP6	22	q11.21	21290760	21294586
AC112498.1	X	p22.2	15117437	15117768
KRT19	17	q21.2	41523617	41528308
AC138649.3	15	q11.2	22756172	22756729
AC073143.1	2	p25.2	5313740	5314134
PCDHGA12	5	q31.3	141430589	141512979
AC107057.1	2	p25.2	5549780	5556031
CD101	1	p13.1	117001750	117036476
LINC01248	2	p25.2	5602505	5691488
KCNMB3	3	q26.32	179236691	179267002
AC108025.1	2	p25.2	5618327	5691118
AL669831.5	1	p36.33	778770	810060
RPL9P33	19	q13.41	51621136	51621701
LINC02323	14	q32.31	102545254	102555826
AL359762.2	1	p22.3	84607099	84610697
LINC01555	1	p22.3	84628230	84635020
TRIM40	CHR_HSCHR6_MHC_SSTO_CTG1		30126512	30139132
AC010306.1	5	q35.1	171251866	171252982
PCDHGB6	5	q31.3	141408021	141512979
CD3EAP	19	q13.32	45406209	45410766
RANBP17	5	q35.1	170861870	171300015
MTATP8P1	1	p36.33	633535	633741
